,Corp ID,Corp Name,School ID,School Name,County,SC 2016,SpecEd 2016,SpecEd Perc,Enrollment 2016,District ID,District
63,9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Harrison,40.0,9.0,11.25,80.0,3160,Lanesville Community School Corporation
64,9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Harrison,40.0,9.0,11.25,80.0,3180,North Harrison Community School Corporation
65,9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Harrison,40.0,9.0,11.25,80.0,3190,South Harrison Community Schools
66,9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Hendricks,124.0,29.0,6.92,419.0,3315,Avon Community School Corporation
67,9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Hendricks,124.0,29.0,6.92,419.0,3305,Brownsburg Community School Corporation
68,9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Hendricks,124.0,29.0,6.92,419.0,5385,Indianapolis Public Schools
69,9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Hendricks,124.0,29.0,6.92,419.0,5300,M S D Decatur Township
70,9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Hendricks,124.0,29.0,6.92,419.0,5330,M S D Lawrence Township
71,9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Hendricks,124.0,29.0,6.92,419.0,5350,M S D Pike Township
72,9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Hendricks,124.0,29.0,6.92,419.0,5375,M S D Wayne Township
73,9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Hendricks,124.0,29.0,6.92,419.0,3295,North West Hendricks Schools
74,9200,Archdiocese of Indianapolis,B285,Saint Malachy School,Hendricks,124.0,29.0,6.92,419.0,630,Zionsville Community Schools
75,9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Hendricks,50.0,27.0,11.25,240.0,3315,Avon Community School Corporation
76,9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Hendricks,50.0,27.0,11.25,240.0,3325,Danville Community School Corporation
77,9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Hendricks,50.0,27.0,11.25,240.0,5300,M S D Decatur Township
78,9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Hendricks,50.0,27.0,11.25,240.0,5375,M S D Wayne Township
79,9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Hendricks,50.0,27.0,11.25,240.0,3335,Mill Creek Community School Corporation
80,9200,Archdiocese of Indianapolis,B300,Saint Susanna School,Hendricks,50.0,27.0,11.25,240.0,3330,Plainfield Community School Corporation
81,9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Jackson,67.0,14.0,9.59,146.0,3695,Brownstown Central Community School Corporation
82,9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Jackson,67.0,14.0,9.59,146.0,3710,Crothersville Community Schools
83,9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Jackson,67.0,14.0,9.59,146.0,4015,Jennings County Schools
84,9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,Jackson,67.0,14.0,9.59,146.0,3675,Seymour Community Schools
85,9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Jefferson,71.0,7.0,4.52,155.0,6900,Jac-Cen-Del Community School Corporation
86,9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Jefferson,71.0,7.0,4.52,155.0,4015,Jennings County Schools
87,9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Jefferson,71.0,7.0,4.52,155.0,3995,Madison Consolidated Schools
88,9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Jefferson,71.0,7.0,4.52,155.0,7255,Scott County School District II
89,9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Jefferson,71.0,7.0,4.52,155.0,4000,Southwestern-Jefferson County Consolidated Schools
90,9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Jefferson,71.0,7.0,4.52,155.0,7775,Switzerland County School Corporation
91,9200,Archdiocese of Indianapolis,B510,Pope John XXIII School,Jefferson,153.0,11.0,3.54,311.0,6900,Jac-Cen-Del Community School Corporation
92,9200,Archdiocese of Indianapolis,B510,Pope John XXIII School,Jefferson,153.0,11.0,3.54,311.0,3995,Madison Consolidated Schools
93,9200,Archdiocese of Indianapolis,B510,Pope John XXIII School,Jefferson,153.0,11.0,3.54,311.0,7255,Scott County School District II
94,9200,Archdiocese of Indianapolis,B510,Pope John XXIII School,Jefferson,153.0,11.0,3.54,311.0,4000,Southwestern-Jefferson County Consolidated Schools
95,9200,Archdiocese of Indianapolis,B510,Pope John XXIII School,Jefferson,153.0,11.0,3.54,311.0,8220,West Washington School Corporation
96,9200,Archdiocese of Indianapolis,B515,Saint Mary School,Jennings,65.0,12.0,6.67,180.0,4015,Jennings County Schools
97,9200,Archdiocese of Indianapolis,B518,Saint Rose of Lima School,Johnson,94.0,17.0,9.6,177.0,4145,Clark-Pleasant Community School Corporation
98,9200,Archdiocese of Indianapolis,B518,Saint Rose of Lima School,Johnson,94.0,17.0,9.6,177.0,4225,Franklin Community School Corporation
99,9200,Archdiocese of Indianapolis,B518,Saint Rose of Lima School,Johnson,94.0,17.0,9.6,177.0,7365,Shelbyville Central Schools
100,9200,Archdiocese of Indianapolis,B518,Saint Rose of Lima School,Johnson,94.0,17.0,9.6,177.0,7360,Southwestern Consolidated School District Shelby County
101,9200,Archdiocese of Indianapolis,B535,Our Lady Of The Greenwood School,Johnson,140.0,28.0,9.4,298.0,4205,Center Grove Community School Corporation
102,9200,Archdiocese of Indianapolis,B535,Our Lady Of The Greenwood School,Johnson,140.0,28.0,9.4,298.0,4145,Clark-Pleasant Community School Corporation
103,9200,Archdiocese of Indianapolis,B535,Our Lady Of The Greenwood School,Johnson,140.0,28.0,9.4,298.0,4225,Franklin Community School Corporation
104,9200,Archdiocese of Indianapolis,B535,Our Lady Of The Greenwood School,Johnson,140.0,28.0,9.4,298.0,5310,Franklin Township Community School Corporation
105,9200,Archdiocese of Indianapolis,B535,Our Lady Of The Greenwood School,Johnson,140.0,28.0,9.4,298.0,4245,Greenwood Community School Corporation
106,9200,Archdiocese of Indianapolis,B535,Our Lady Of The Greenwood School,Johnson,140.0,28.0,9.4,298.0,5385,Indianapolis Public Schools
107,9200,Archdiocese of Indianapolis,B535,Our Lady Of The Greenwood School,Johnson,140.0,28.0,9.4,298.0,5300,M S D Decatur Township
108,9200,Archdiocese of Indianapolis,B535,Our Lady Of The Greenwood School,Johnson,140.0,28.0,9.4,298.0,5340,M S D Perry Township
109,9200,Archdiocese of Indianapolis,B535,Our Lady Of The Greenwood School,Johnson,140.0,28.0,9.4,298.0,3070,Noblesville Schools
110,9200,Archdiocese of Indianapolis,B540,Saints Francis and Clare Catholic School,Johnson,106.0,55.0,10.62,518.0,5380,Beech Grove City Schools
111,9200,Archdiocese of Indianapolis,B540,Saints Francis and Clare Catholic School,Johnson,106.0,55.0,10.62,518.0,670,Brown County School Corporation
112,9200,Archdiocese of Indianapolis,B540,Saints Francis and Clare Catholic School,Johnson,106.0,55.0,10.62,518.0,4205,Center Grove Community School Corporation
113,9200,Archdiocese of Indianapolis,B540,Saints Francis and Clare Catholic School,Johnson,106.0,55.0,10.62,518.0,4145,Clark-Pleasant Community School Corporation
114,9200,Archdiocese of Indianapolis,B540,Saints Francis and Clare Catholic School,Johnson,106.0,55.0,10.62,518.0,4225,Franklin Community School Corporation
115,9200,Archdiocese of Indianapolis,B540,Saints Francis and Clare Catholic School,Johnson,106.0,55.0,10.62,518.0,5310,Franklin Township Community School Corporation
116,9200,Archdiocese of Indianapolis,B540,Saints Francis and Clare Catholic School,Johnson,106.0,55.0,10.62,518.0,4245,Greenwood Community School Corporation
117,9200,Archdiocese of Indianapolis,B540,Saints Francis and Clare Catholic School,Johnson,106.0,55.0,10.62,518.0,5300,M S D Decatur Township
118,9200,Archdiocese of Indianapolis,B540,Saints Francis and Clare Catholic School,Johnson,106.0,55.0,10.62,518.0,5925,M S D Martinsville Schools
119,9200,Archdiocese of Indianapolis,B540,Saints Francis and Clare Catholic School,Johnson,106.0,55.0,10.62,518.0,5340,M S D Perry Township
120,9200,Archdiocese of Indianapolis,B540,Saints Francis and Clare Catholic School,Johnson,106.0,55.0,10.62,518.0,5360,M S D Warren Township
121,9200,Archdiocese of Indianapolis,B540,Saints Francis and Clare Catholic School,Johnson,106.0,55.0,10.62,518.0,5930,Mooresville Consolidated School Corporation
122,9200,Archdiocese of Indianapolis,C160,Saint Vincent DePaul School,Lawrence,76.0,11.0,5.76,191.0,5085,Mitchell Community Schools
123,9200,Archdiocese of Indianapolis,C160,Saint Vincent DePaul School,Lawrence,76.0,11.0,5.76,191.0,5075,North Lawrence Community Schools
124,9200,Archdiocese of Indianapolis,C160,Saint Vincent DePaul School,Lawrence,76.0,11.0,5.76,191.0,5520,Shoals Community School Corporation
125,9200,Archdiocese of Indianapolis,C265,Nativity School,Marion,100.0,27.0,6.73,401.0,5380,Beech Grove City Schools
126,9200,Archdiocese of Indianapolis,C265,Nativity School,Marion,100.0,27.0,6.73,401.0,3145,Eastern Hancock County Community School Corporation
127,9200,Archdiocese of Indianapolis,C265,Nativity School,Marion,100.0,27.0,6.73,401.0,5310,Franklin Township Community School Corporation
128,9200,Archdiocese of Indianapolis,C265,Nativity School,Marion,100.0,27.0,6.73,401.0,5385,Indianapolis Public Schools
129,9200,Archdiocese of Indianapolis,C265,Nativity School,Marion,100.0,27.0,6.73,401.0,5340,M S D Perry Township
130,9200,Archdiocese of Indianapolis,C265,Nativity School,Marion,100.0,27.0,6.73,401.0,5360,M S D Warren Township
131,9200,Archdiocese of Indianapolis,C265,Nativity School,Marion,100.0,27.0,6.73,401.0,3070,Noblesville Schools
132,9200,Archdiocese of Indianapolis,C265,Nativity School,Marion,100.0,27.0,6.73,401.0,7350,Northwestern Consolidated School Corporation
133,9200,Archdiocese of Indianapolis,C265,Nativity School,Marion,100.0,27.0,6.73,401.0,7365,Shelbyville Central Schools
134,9200,Archdiocese of Indianapolis,C265,Nativity School,Marion,100.0,27.0,6.73,401.0,7360,Southwestern Consolidated School District Shelby County
135,9200,Archdiocese of Indianapolis,C280,Saint Lawrence School,Marion,158.0,22.0,8.87,248.0,4205,Center Grove Community School Corporation
136,9200,Archdiocese of Indianapolis,C280,Saint Lawrence School,Marion,158.0,22.0,8.87,248.0,5310,Franklin Township Community School Corporation
137,9200,Archdiocese of Indianapolis,C280,Saint Lawrence School,Marion,158.0,22.0,8.87,248.0,3005,Hamilton Southeastern Schools
138,9200,Archdiocese of Indianapolis,C280,Saint Lawrence School,Marion,158.0,22.0,8.87,248.0,5385,Indianapolis Public Schools
139,9200,Archdiocese of Indianapolis,C280,Saint Lawrence School,Marion,158.0,22.0,8.87,248.0,5330,M S D Lawrence Township
140,9200,Archdiocese of Indianapolis,C280,Saint Lawrence School,Marion,158.0,22.0,8.87,248.0,5360,M S D Warren Township
141,9200,Archdiocese of Indianapolis,C280,Saint Lawrence School,Marion,158.0,22.0,8.87,248.0,5370,M S D Washington Township
142,9200,Archdiocese of Indianapolis,C280,Saint Lawrence School,Marion,158.0,22.0,8.87,248.0,5375,M S D Wayne Township
143,9200,Archdiocese of Indianapolis,C280,Saint Lawrence School,Marion,158.0,22.0,8.87,248.0,3135,Mount Vernon Community School Corporation
144,9200,Archdiocese of Indianapolis,C295,Saint Barnabas School,Marion,128.0,39.0,7.29,535.0,4205,Center Grove Community School Corporation
145,9200,Archdiocese of Indianapolis,C295,Saint Barnabas School,Marion,128.0,39.0,7.29,535.0,4145,Clark-Pleasant Community School Corporation
146,9200,Archdiocese of Indianapolis,C295,Saint Barnabas School,Marion,128.0,39.0,7.29,535.0,4225,Franklin Community School Corporation
147,9200,Archdiocese of Indianapolis,C295,Saint Barnabas School,Marion,128.0,39.0,7.29,535.0,5310,Franklin Township Community School Corporation
148,9200,Archdiocese of Indianapolis,C295,Saint Barnabas School,Marion,128.0,39.0,7.29,535.0,4245,Greenwood Community School Corporation
149,9200,Archdiocese of Indianapolis,C295,Saint Barnabas School,Marion,128.0,39.0,7.29,535.0,5300,M S D Decatur Township
150,9200,Archdiocese of Indianapolis,C295,Saint Barnabas School,Marion,128.0,39.0,7.29,535.0,5340,M S D Perry Township
151,9200,Archdiocese of Indianapolis,C295,Saint Barnabas School,Marion,128.0,39.0,7.29,535.0,5360,M S D Warren Township
152,9200,Archdiocese of Indianapolis,C300,Saint Jude Elementary School,Marion,137.0,44.0,8.91,494.0,4145,Clark-Pleasant Community School Corporation
153,9200,Archdiocese of Indianapolis,C300,Saint Jude Elementary School,Marion,137.0,44.0,8.91,494.0,5310,Franklin Township Community School Corporation
154,9200,Archdiocese of Indianapolis,C300,Saint Jude Elementary School,Marion,137.0,44.0,8.91,494.0,5385,Indianapolis Public Schools
155,9200,Archdiocese of Indianapolis,C300,Saint Jude Elementary School,Marion,137.0,44.0,8.91,494.0,5340,M S D Perry Township
156,9200,Archdiocese of Indianapolis,C300,Saint Jude Elementary School,Marion,137.0,44.0,8.91,494.0,5360,M S D Warren Township
157,9200,Archdiocese of Indianapolis,C300,Saint Jude Elementary School,Marion,137.0,44.0,8.91,494.0,5375,M S D Wayne Township
158,9200,Archdiocese of Indianapolis,C305,Saint Mark School,Marion,145.0,27.0,8.63,313.0,4205,Center Grove Community School Corporation
159,9200,Archdiocese of Indianapolis,C305,Saint Mark School,Marion,145.0,27.0,8.63,313.0,5310,Franklin Township Community School Corporation
160,9200,Archdiocese of Indianapolis,C305,Saint Mark School,Marion,145.0,27.0,8.63,313.0,4245,Greenwood Community School Corporation
161,9200,Archdiocese of Indianapolis,C305,Saint Mark School,Marion,145.0,27.0,8.63,313.0,5385,Indianapolis Public Schools
162,9200,Archdiocese of Indianapolis,C305,Saint Mark School,Marion,145.0,27.0,8.63,313.0,5300,M S D Decatur Township
163,9200,Archdiocese of Indianapolis,C305,Saint Mark School,Marion,145.0,27.0,8.63,313.0,5330,M S D Lawrence Township
164,9200,Archdiocese of Indianapolis,C305,Saint Mark School,Marion,145.0,27.0,8.63,313.0,5340,M S D Perry Township
165,9200,Archdiocese of Indianapolis,C310,Saint Roch School,Marion,103.0,29.0,9.57,303.0,5380,Beech Grove City Schools
166,9200,Archdiocese of Indianapolis,C310,Saint Roch School,Marion,103.0,29.0,9.57,303.0,4205,Center Grove Community School Corporation
