,School No.,School Name,Special ed enrollment 2016,Special ed ratio 2016,Total enrollment 2016
297,A724,,13.0,17.57,74.0
298,B725,,15.0,20.83,72.0
299,C791,,10.0,14.29,70.0
300,D860,,1.0,1.59,63.0
301,C250,,8.0,12.7,63.0
302,C690,,0.0,0.0,58.0
303,B747,,6.0,10.53,57.0
304,C257,,25.0,43.86,57.0
305,B483,,9.0,16.07,56.0
306,B085,,3.0,5.36,56.0
307,B161,,2.0,3.7,54.0
308,B928,,0.0,0.0,52.0
309,D875,,0.0,0.0,52.0
310,B904,,1.0,1.96,51.0
311,D315,,6.0,12.77,47.0
312,A275,,35.0,74.47,47.0
313,A260,,0.0,0.0,45.0
314,C223,,0.0,0.0,41.0
315,B951,,0.0,0.0,41.0
316,C215,,0.0,0.0,40.0
317,B764,,0.0,0.0,40.0
318,C589,,28.0,70.0,40.0
319,D158,,1.0,2.63,38.0
320,D907,,1.0,2.94,34.0
321,B167,,3.0,9.09,33.0
322,B302,,0.0,0.0,31.0
323,D725,,4.0,13.33,30.0
324,D300,,2.0,7.41,27.0
325,A480,,0.0,0.0,26.0
326,B473,,12.0,46.15,26.0
327,D249,,0.0,0.0,24.0
328,A405,,0.0,0.0,15.0
329,D748,,1.0,6.67,15.0
330,C899,,0.0,0.0,15.0
331,C905,,0.0,0.0,14.0
332,C112,,1.0,12.5,8.0
333,D056,,0.0,0.0,8.0
334,A352,,0.0,0.0,4.0
335,A515,,,,
336,B195,,,,
337,B985,,,,
338,A479,,,,
339,D526,,,,
340,B037,,,,
341,B790,,,,
342,A865,,,,
343,A309,,,,
344,A302,,,,
345,D722,,,,
346,C224,,,,
347,A870,,,,
348,C205,,,,
349,C040,,,,
350,B800,,,,
351,D465,,,,
352,C145,,,,
353,C210,,,,
354,B065,,,,
355,D615,,,,
356,D458,,,,
357,B293,,,,
358,B901,,,,
359,D058,,,,
360,B557,,,,
361,D676,,,,
362,B807,,,,
