,School ID,School Name,County,Grade,SC 2011,SC 2016,Count % Change,Corp ID,Corp Name,SpecEd 2016,SpecEd Perc,Enrollment 2016
69,B760,Andrean High School,Lake,A,41.0,161.0,2.92682926829,9205.0,Diocese of Gary,5.0,1.02%,492.0
70,B775,Saint Michael School,Lake,B,,25.0,,9205.0,Diocese of Gary,10.0,4.41%,227.0
71,B780,Saint John Evangelist School,Lake,A,9.0,34.0,2.77777777778,9205.0,Diocese of Gary,21.0,5.65%,372.0
72,B835,Saint Mary Catholic Community School,Lake,B,20.0,108.0,4.4,9205.0,Diocese of Gary,13.0,2.57%,505.0
73,B865,Saint Stanislaus School,Lake,C,72.0,166.0,1.30555555556,9205.0,Diocese of Gary,6.0,2.84%,211.0
74,B930,Saint Mary School,Lake,B,23.0,132.0,4.73913043478,9205.0,Diocese of Gary,7.0,2.80%,250.0
75,B950,Saint Casimir School,Lake,C,35.0,330.0,8.42857142857,9205.0,Diocese of Gary,12.0,2.56%,468.0
76,B960,Saint John Bosco School,Lake,B,36.0,167.0,3.63888888889,9205.0,Diocese of Gary,12.0,5.24%,229.0
77,B965,Saint John The Baptist School,Lake,C,12.0,96.0,7.0,9205.0,Diocese of Gary,16.0,4.20%,381.0
78,B970,Bishop Noll Institute,Lake,B,40.0,276.0,5.9,9205.0,Diocese of Gary,2.0,0.38%,528.0
79,C025,Our Lady Of Grace School,Lake,B,14.0,90.0,5.42857142857,9205.0,Diocese of Gary,12.0,8.11%,148.0
80,C060,Saint Thomas More School,Lake,A,,72.0,,9205.0,Diocese of Gary,32.0,6.57%,487.0
81,C105,Notre Dame Elementary School,LaPorte,A,11.0,71.0,5.45454545455,9205.0,Diocese of Gary,10.0,4.65%,215.0
82,C110,Queen Of All Saints School,LaPorte,A,38.0,99.0,1.60526315789,9205.0,Diocese of Gary,20.0,10.81%,185.0
83,C120,Saint Stanislaus Kostka School,LaPorte,B,32.0,84.0,1.625,9205.0,Diocese of Gary,12.0,10.08%,119.0
84,C125,Marquette Catholic High School,LaPorte,B,17.0,125.0,6.35294117647,9205.0,Diocese of Gary,9.0,3.30%,273.0
85,D050,Saint Patrick School,Porter,A,,12.0,,9205.0,Diocese of Gary,13.0,4.47%,291.0
86,D065,Nativity of Our Savior School,Porter,A,,64.0,,9205.0,Diocese of Gary,9.0,6.34%,142.0
87,D085,Saint Paul Catholic School,Porter,A,9.0,16.0,0.777777777778,9205.0,Diocese of Gary,15.0,5.36%,280.0
88,A470,Sacred Heart School,Benton,A,9.0,45.0,4.0,9210.0,Diocese of Lafayette Catholic Sch,19.0,22.35%,85.0
89,A790,Saint Lawrence School,Delaware,A,,25.0,,9210.0,Diocese of Lafayette Catholic Sch,7.0,15.22%,46.0
90,A795,Saint Mary School,Delaware,B,11.0,55.0,4.0,9210.0,Diocese of Lafayette Catholic Sch,9.0,5.96%,151.0
91,B155,Saint Paul Parish School,Grant,B,,57.0,,9210.0,Diocese of Lafayette Catholic Sch,8.0,6.72%,119.0
92,B215,Our Lady Of Mt Carmel School,,A,,,,9210.0,Diocese of Lafayette Catholic Sch,24.0,3.75%,640.0
93,B216,Saint Maria Goretti School,,A,,,,9210.0,Diocese of Lafayette Catholic Sch,33.0,7.47%,442.0
94,B227,Saint Louis de Montfort School,,A,,,,9210.0,Diocese of Lafayette Catholic Sch,16.0,3.27%,490.0
95,B246,Our Lady of Grace School,Hamilton,A,,56.0,,9210.0,Diocese of Lafayette Catholic Sch,23.0,8.04%,286.0
96,B249,Guerin Catholic High School,Hamilton,A,,59.0,,9210.0,Diocese of Lafayette Catholic Sch,37.0,4.88%,758.0
97,B395,Saints Joan of Arc & Patrick School,Howard,B,,150.0,,9210.0,Diocese of Lafayette Catholic Sch,38.0,14.23%,267.0
98,B475,Saint Augustine School,Jasper,A,,26.0,,9210.0,Diocese of Lafayette Catholic Sch,11.0,10.78%,102.0
