,School No.,School Name,County,Voucher enrollment 2016,Special ed enrollment 2016,Special ed ratio 2016,Total enrollment 2016,2016 Grade,District No.,District Name
128,A170,Blackhawk Christian Jr/Sr High School,Allen,156,5.0,1.43,350.0,A,125,M S D Southwest Allen County
129,A170,Blackhawk Christian Jr/Sr High School,Allen,156,5.0,1.43,350.0,A,225,Northwest Allen County Schools
130,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,3315,Avon Community School Corporation
131,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,3305,Brownsburg Community School Corporation
132,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,3060,Carmel Clay Schools
133,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,1170,Community Schools of Frankfort
134,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,5310,Franklin Township Community School Corporation
135,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,5385,Indianapolis Public Schools
136,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,5330,M S D Lawrence Township
137,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,5350,M S D Pike Township
138,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,5360,M S D Warren Township
139,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,5370,M S D Washington Township
140,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,5375,M S D Wayne Township
141,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,5930,Mooresville Consolidated School Corporation
142,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,3135,Mount Vernon Community School Corporation
143,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,5400,School Town of Speedway
144,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,3030,Westfield-Washington Schools
145,C360,Brebeuf Jesuit Preparatory School,Marion,85,6.0,0.76,794.0,A,630,Zionsville Community Schools
146,C396,Burge Terrace Christian School,Marion,40,6.0,7.89,76.0,No Grade,5310,Franklin Township Community School Corporation
147,C396,Burge Terrace Christian School,Marion,40,6.0,7.89,76.0,No Grade,3125,Greenfield-Central Community Schools
148,C396,Burge Terrace Christian School,Marion,40,6.0,7.89,76.0,No Grade,5330,M S D Lawrence Township
149,C396,Burge Terrace Christian School,Marion,40,6.0,7.89,76.0,No Grade,5340,M S D Perry Township
150,C396,Burge Terrace Christian School,Marion,40,6.0,7.89,76.0,No Grade,5360,M S D Warren Township
151,C396,Burge Terrace Christian School,Marion,40,6.0,7.89,76.0,No Grade,7350,Northwestern Consolidated School Corporation
152,C396,Burge Terrace Christian School,Marion,40,6.0,7.89,76.0,No Grade,3115,Southern Hancock County Community School Corporation
153,B815,Calumet Christian School,Lake,106,6.0,4.51,133.0,F,4690,Gary Community School Corporation
154,B815,Calumet Christian School,Lake,106,6.0,4.51,133.0,F,4700,Griffith Public Schools
155,B815,Calumet Christian School,Lake,106,6.0,4.51,133.0,F,4615,Lake Central School Corporation
156,B815,Calumet Christian School,Lake,106,6.0,4.51,133.0,F,4650,Lake Ridge Schools
157,B815,Calumet Christian School,Lake,106,6.0,4.51,133.0,F,4680,Lake Station Community Schools
158,B815,Calumet Christian School,Lake,106,6.0,4.51,133.0,F,4600,Merrillville Community School
159,B815,Calumet Christian School,Lake,106,6.0,4.51,133.0,F,6550,Portage Township Schools
160,B815,Calumet Christian School,Lake,106,6.0,4.51,133.0,F,4670,School City of East Chicago
161,B815,Calumet Christian School,Lake,106,6.0,4.51,133.0,F,4710,School City of Hammond
162,B815,Calumet Christian School,Lake,106,6.0,4.51,133.0,F,4720,School Town of Highland
163,C580,Calvary Christian School,Marion,124,17.0,7.62,223.0,A,3315,Avon Community School Corporation
164,C580,Calvary Christian School,Marion,124,17.0,7.62,223.0,A,4145,Clark-Pleasant Community School Corporation
165,C580,Calvary Christian School,Marion,124,17.0,7.62,223.0,A,4225,Franklin Community School Corporation
166,C580,Calvary Christian School,Marion,124,17.0,7.62,223.0,A,5310,Franklin Township Community School Corporation
167,C580,Calvary Christian School,Marion,124,17.0,7.62,223.0,A,1730,Greensburg Community Schools
168,C580,Calvary Christian School,Marion,124,17.0,7.62,223.0,A,5385,Indianapolis Public Schools
169,C580,Calvary Christian School,Marion,124,17.0,7.62,223.0,A,5300,M S D Decatur Township
170,C580,Calvary Christian School,Marion,124,17.0,7.62,223.0,A,5330,M S D Lawrence Township
171,C580,Calvary Christian School,Marion,124,17.0,7.62,223.0,A,5340,M S D Perry Township
172,C580,Calvary Christian School,Marion,124,17.0,7.62,223.0,A,5350,M S D Pike Township
173,C580,Calvary Christian School,Marion,124,17.0,7.62,223.0,A,5360,M S D Warren Township
174,C580,Calvary Christian School,Marion,124,17.0,7.62,223.0,A,5370,M S D Washington Township
