,District ID,SC 2016,SpecEd 2016,Enrollment 2016,Avg. SpecEd Perc,District Name,Public SpecEd 2016,Public SpecEd Perc,Public Enrollment 2016
234,7855,1343.0,294.0,3497.0,8.41,Lafayette School Corporation,1500.0,19.50%,7694.0
121,4615,1836.0,202.0,5431.0,3.72,Lake Central School Corporation,1331.0,13.78%,9656.0
123,4650,826.0,63.0,1947.0,3.24,Lake Ridge New Tech Schools,283.0,15.11%,1873.0
126,4680,1019.0,52.0,1651.0,3.15,Lake Station Community Schools,174.0,13.50%,1289.0
117,4535,458.0,68.0,965.0,7.05,Lakeland School Corporation,341.0,17.18%,1985.0
69,3160,459.0,91.0,1715.0,5.31,Lanesville Community School Corp,97.0,12.97%,748.0
15,1620,153.0,30.0,527.0,5.69,Lawrenceburg Community School Corp,324.0,15.98%,2028.0
199,665,1171.0,265.0,3406.0,7.78,Lebanon Community School Corp,639.0,18.61%,3434.0
23,1895,170.0,20.0,357.0,5.6,Liberty-Perry Community Sch Corp,183.0,15.12%,1210.0
272,2950,,,,,Linton-Stockton School Corporation,137.0,9.66%,1418.0
266,875,90.0,1.0,127.0,0.79,Logansport Community Sch Corp,499.0,11.73%,4254.0
275,5525,,,,,Loogootee Community Sch Corp,143.0,17.72%,807.0
259,8445,51.0,13.0,97.0,13.4,M S D Bluffton-Harrison,235.0,14.94%,1573.0
188,6460,225.0,30.0,506.0,5.93,M S D Boone Township,173.0,14.93%,1159.0
148,5300,5875.0,895.0,13435.0,6.66,M S D Decatur Township,915.0,14.18%,6452.0
150,5330,5274.0,969.0,15080.0,6.43,M S D Lawrence Township,2013.0,12.63%,15936.0
176,5925,877.0,132.0,2214.0,5.96,M S D Martinsville Schools,766.0,16.49%,4645.0
195,6590,711.0,128.0,2034.0,6.29,M S D Mount Vernon,491.0,23.53%,2087.0
196,6600,369.0,113.0,1554.0,7.27,M S D North Posey Co Schools,295.0,19.81%,1489.0
152,5350,5812.0,839.0,13861.0,6.05,M S D Pike Township,1532.0,13.48%,11369.0
273,2960,,,,,M S D Shakamak Schools,100.0,12.25%,816.0
7,125,4835.0,629.0,9483.0,6.63,M S D Southwest Allen County Schls,565.0,7.86%,7190.0
231,7615,262.0,36.0,597.0,6.03,M S D Steuben County,423.0,15.08%,2805.0
245,8050,394.0,12.0,484.0,2.48,M S D Wabash County Schools,299.0,14.48%,2065.0
247,8115,,,,,M S D Warren County,220.0,17.96%,1225.0
153,5360,7183.0,1195.0,17662.0,6.77,M S D Warren Township,1875.0,15.25%,12297.0
154,5370,5510.0,954.0,14745.0,6.47,M S D Washington Township,1681.0,14.64%,11482.0
155,5375,5867.0,963.0,14608.0,6.59,M S D Wayne Township,2003.0,12.43%,16111.0
135,4860,324.0,32.0,405.0,7.9,M S D of New Durham Township,110.0,12.40%,887.0
165,5615,671.0,158.0,1583.0,9.98,Maconaquah School Corp,377.0,16.25%,2320.0
99,3995,377.0,25.0,710.0,3.52,Madison Consolidated Schools,457.0,15.83%,2887.0
54,2825,347.0,8.0,408.0,1.96,Madison-Grant United School Corp,203.0,16.54%,1227.0
244,8045,287.0,52.0,530.0,9.81,Manchester Community Schools,192.0,12.21%,1572.0
375,9915,,,,,Marion Academy,47.0,27.65%,170.0
56,2865,680.0,130.0,1539.0,8.45,Marion Community Schools,601.0,15.42%,3898.0
383,9955,,,,,Mays Community Academy,39.0,21.67%,180.0
89,3640,86.0,5.0,114.0,4.39,Medora Community School Corp,47.0,22.93%,205.0
120,4600,2500.0,167.0,5367.0,3.11,Merrillville Community School Corp,833.0,12.79%,6512.0
137,4925,965.0,114.0,1906.0,5.98,Michigan City Area Schools,1046.0,18.68%,5601.0
36,2275,803.0,168.0,2053.0,8.18,Middlebury Community Schools,535.0,11.68%,4579.0
210,6910,63.0,6.0,210.0,2.86,Milan Community Schools,176.0,15.30%,1150.0
77,3335,341.0,72.0,1045.0,6.89,Mill Creek Community Sch Corp,254.0,16.62%,1528.0
55,2855,795.0,141.0,1745.0,8.08,Mississinewa Community School Corp,415.0,16.38%,2534.0
141,5085,228.0,34.0,476.0,7.14,Mitchell Community Schools,342.0,21.20%,1613.0
204,6820,25.0,7.0,46.0,15.22,Monroe Central School Corp,177.0,16.51%,1072.0
170,5740,616.0,133.0,1602.0,8.3,Monroe County Community Sch Corp,1670.0,15.02%,11122.0
174,5900,451.0,58.0,957.0,6.06,Monroe-Gregg School District,229.0,14.84%,1543.0
177,5930,2380.0,417.0,6635.0,6.28,Mooresville Con School Corp,612.0,13.75%,4452.0
67,3135,2296.0,323.0,6945.0,4.65,Mt Vernon Community School Corp,595.0,15.13%,3933.0
27,1970,1298.0,190.0,3219.0,5.9,Muncie Community Schools,1236.0,21.72%,5690.0
348,9730,,,,,Neighbors' New Vistas High School,36.0,14.81%,243.0
253,8305,358.0,32.0,656.0,4.88,Nettle Creek School Corporation,190.0,17.04%,1115.0
42,2400,931.0,220.0,3174.0,6.93,New Albany-Floyd Co Con Sch,1935.0,16.94%,11420.0
81,3445,115.0,11.0,206.0,5.34,New Castle Community School Corp,638.0,19.32%,3302.0
304,9340,,,,,New Community School,27.0,18.12%,149.0
134,4805,920.0,149.0,2286.0,6.52,New Prairie United School Corp,380.0,12.68%,2998.0
378,9930,,,,,Nexus Academy of Indianapolis,22.0,16.92%,130.0
