,District ID,SC 2016,SpecEd 2016,Enrollment 2016,Avg. SpecEd Perc
122,4645,685.0,73.0,2683.0,2.72
123,4650,826.0,63.0,1947.0,3.24
124,4660,1616.0,117.0,4217.0,2.77
125,4670,2295.0,162.0,4446.0,3.64
126,4680,1019.0,52.0,1651.0,3.15
127,4690,2795.0,208.0,5973.0,3.48
128,4700,1460.0,84.0,2967.0,2.83
129,4710,2300.0,161.0,4469.0,3.6
130,4720,1083.0,97.0,2816.0,3.44
131,4730,1608.0,103.0,3228.0,3.19
132,4740,877.0,74.0,2247.0,3.29
133,4760,702.0,30.0,1377.0,2.18
134,4805,920.0,149.0,2286.0,6.52
135,4860,324.0,32.0,405.0,7.9
136,4915,160.0,5.0,296.0,1.69
137,4925,965.0,114.0,1906.0,5.98
138,4940,160.0,5.0,296.0,1.69
139,4945,791.0,70.0,1909.0,3.67
140,5075,268.0,48.0,601.0,7.99
141,5085,228.0,34.0,476.0,7.14
142,515,,,,
143,5245,586.0,77.0,929.0,8.29
144,5255,1106.0,130.0,1786.0,7.28
145,5265,810.0,89.0,1266.0,7.03
146,5275,1635.0,333.0,4639.0,7.18
147,5280,293.0,71.0,1124.0,6.32
148,5300,5875.0,895.0,13435.0,6.66
149,5310,6609.0,1059.0,16230.0,6.52
150,5330,5274.0,969.0,15080.0,6.43
151,5340,4804.0,780.0,11276.0,6.92
152,5350,5812.0,839.0,13861.0,6.05
153,5360,7183.0,1195.0,17662.0,6.77
154,5370,5510.0,954.0,14745.0,6.47
155,5375,5867.0,963.0,14608.0,6.59
156,5380,3301.0,523.0,8257.0,6.33
157,5385,9450.0,1543.0,22566.0,6.84
158,5400,1807.0,174.0,4594.0,3.79
159,5455,453.0,79.0,1510.0,5.23
160,5470,74.0,7.0,161.0,4.35
161,5480,279.0,61.0,503.0,12.13
162,5485,691.0,153.0,1861.0,8.22
163,5495,55.0,11.0,149.0,7.38
164,5520,76.0,11.0,191.0,5.76
165,5615,671.0,158.0,1583.0,9.98
