,Corp ID,Corp Name,School ID,School Name,County,Grade,SC 2011,SC 2016,Count % Change,SpecEd 2016,SpecEd Perc,Enrollment 2016,Voucher Perc
78,9205.0,Diocese of Gary,B970,Bishop Noll Institute,Lake,B,40.0,276.0,5.9,2.0,0.38,528.0,52.27
79,9205.0,Diocese of Gary,C025,Our Lady Of Grace School,Lake,B,14.0,90.0,5.42857142857,12.0,8.11,148.0,60.81
80,9205.0,Diocese of Gary,C060,Saint Thomas More School,Lake,A,,72.0,,32.0,6.57,487.0,14.78
81,9205.0,Diocese of Gary,C105,Notre Dame Elementary School,LaPorte,A,11.0,71.0,5.45454545455,10.0,4.65,215.0,33.02
82,9205.0,Diocese of Gary,C110,Queen Of All Saints School,LaPorte,A,38.0,99.0,1.60526315789,20.0,10.81,185.0,53.51
83,9205.0,Diocese of Gary,C120,Saint Stanislaus Kostka School,LaPorte,B,32.0,84.0,1.625,12.0,10.08,119.0,70.59
84,9205.0,Diocese of Gary,C125,Marquette Catholic High School,LaPorte,B,17.0,125.0,6.35294117647,9.0,3.3,273.0,45.79
85,9205.0,Diocese of Gary,D050,Saint Patrick School,Porter,A,,12.0,,13.0,4.47,291.0,4.12
86,9205.0,Diocese of Gary,D065,Nativity of Our Savior School,Porter,A,,64.0,,9.0,6.34,142.0,45.07
87,9205.0,Diocese of Gary,D085,Saint Paul Catholic School,Porter,A,9.0,16.0,0.777777777778,15.0,5.36,280.0,5.71
88,9210.0,Diocese of Lafayette Catholic Sch,A470,Sacred Heart School,Benton,A,9.0,45.0,4.0,19.0,22.35,85.0,52.94
89,9210.0,Diocese of Lafayette Catholic Sch,A790,Saint Lawrence School,Delaware,A,,25.0,,7.0,15.22,46.0,54.35
90,9210.0,Diocese of Lafayette Catholic Sch,A795,Saint Mary School,Delaware,B,11.0,55.0,4.0,9.0,5.96,151.0,36.42
91,9210.0,Diocese of Lafayette Catholic Sch,B155,Saint Paul Parish School,Grant,B,,57.0,,8.0,6.72,119.0,47.9
92,9210.0,Diocese of Lafayette Catholic Sch,B215,Our Lady Of Mt Carmel School,,A,,,,24.0,3.75,640.0,
93,9210.0,Diocese of Lafayette Catholic Sch,B216,Saint Maria Goretti School,,A,,,,33.0,7.47,442.0,
94,9210.0,Diocese of Lafayette Catholic Sch,B227,Saint Louis de Montfort School,,A,,,,16.0,3.27,490.0,
95,9210.0,Diocese of Lafayette Catholic Sch,B246,Our Lady of Grace School,Hamilton,A,,56.0,,23.0,8.04,286.0,19.58
96,9210.0,Diocese of Lafayette Catholic Sch,B249,Guerin Catholic High School,Hamilton,A,,59.0,,37.0,4.88,758.0,7.78
97,9210.0,Diocese of Lafayette Catholic Sch,B395,Saints Joan of Arc & Patrick School,Howard,B,,150.0,,38.0,14.23,267.0,56.18
98,9210.0,Diocese of Lafayette Catholic Sch,B475,Saint Augustine School,Jasper,A,,26.0,,11.0,10.78,102.0,25.49
99,9210.0,Diocese of Lafayette Catholic Sch,C190,Saint Mary School,Madison,C,,45.0,,3.0,3.57,84.0,53.57
100,,,C205,Saint Ambrose School,Madison,B,13.0,9.0,-0.307692307692,,,,
101,,,C210,Saint Mary School,Madison,B,16.0,9.0,-0.4375,,,,
102,9210.0,Diocese of Lafayette Catholic Sch,D415,Central Catholic Jr/Sr High School,Tippecanoe,A,,168.0,,22.0,5.08,433.0,38.8
103,9210.0,Diocese of Lafayette Catholic Sch,D420,Saint Boniface School,Tippecanoe,A,,62.0,,12.0,9.3,129.0,48.06
104,9210.0,Diocese of Lafayette Catholic Sch,D425,Saint Lawrence Elementary School,Tippecanoe,A,,100.0,,18.0,6.77,266.0,37.59
105,9210.0,Diocese of Lafayette Catholic Sch,D430,Saint Mary Cathedral School,Tippecanoe,A,10.0,75.0,6.5,15.0,8.88,169.0,44.38
106,9215.0,Diocese of Evansville,A660,Washington Catholic Middle/High School,Daviess,B,16.0,109.0,5.8125,16.0,9.3,172.0,63.37
107,9215.0,Diocese of Evansville,A665,Washington Catholic Elementary School,Daviess,C,22.0,125.0,4.68181818182,14.0,7.49,187.0,66.84
108,9215.0,Diocese of Evansville,A871,Holy Trinity Catholic School,Dubois,A,9.0,82.0,8.11111111111,39.0,11.14,350.0,23.43
109,9215.0,Diocese of Evansville,B105,Saint Joseph School,Gibson,B,,64.0,,25.0,17.48,143.0,44.76
110,9215.0,Diocese of Evansville,B115,Holy Cross School,Gibson,A,9.0,29.0,2.22222222222,19.0,13.1,145.0,20.0
111,9215.0,Diocese of Evansville,B120,Saint James School,Gibson,A,9.0,70.0,6.77777777778,26.0,12.09,215.0,32.56
112,9215.0,Diocese of Evansville,B125,Saints Peter & Paul School,Gibson,A,9.0,,,14.0,11.86,118.0,
113,9215.0,Diocese of Evansville,B560,Rivet Middle & High School,Knox,B,,47.0,,4.0,2.65,151.0,31.13
114,9215.0,Diocese of Evansville,B565,Flaget Elementary School,Knox,B,,77.0,,18.0,6.87,262.0,29.39
115,9215.0,Diocese of Evansville,D095,Saint Matthew School,Posey,A,9.0,18.0,1.0,10.0,15.15,66.0,27.27
116,9215.0,Diocese of Evansville,D100,Saint Philip School,Posey,A,,31.0,,15.0,8.33,180.0,17.22
117,9215.0,Diocese of Evansville,D105,Saint Wendel School,Posey,A,,37.0,,19.0,10.33,184.0,20.11
118,9215.0,Diocese of Evansville,D370,Saint Bernard School,Spencer,A,21.0,80.0,2.80952380952,25.0,20.83,120.0,66.67
