CORP,CORP_NAME,SCHL_NAME_CODE,SCHL_NAME,ENR_ELL_N,ENR_ELL_RATIO,ENR_SPEC_ED_N,ENR_SPEC_ED_RATIO,ENROLLMENT_N
9220,Diocese of Fort Wayne - South Bend,D250,Our Lady Of Hungary School,92,50.00%,10,5.43%,184
9220,Diocese of Fort Wayne - South Bend,D255,Saint Adalbert School,116,51.56%,9,4.00%,225
9220,Diocese of Fort Wayne - South Bend,D260,Saint Anthony De Padua School,11,3.99%,29,10.51%,276
9220,Diocese of Fort Wayne - South Bend,D265,Saint John The Baptist School,12,16.67%,5,6.94%,72
9220,Diocese of Fort Wayne - South Bend,D270,Saint Joseph School,0,0.00%,37,8.17%,453
9220,Diocese of Fort Wayne - South Bend,D275,Saint Jude Catholic School,2,1.04%,38,19.69%,193
9220,Diocese of Fort Wayne - South Bend,D285,Saint Matthew Cathedral School,45,12.71%,46,12.99%,354
9220,Diocese of Fort Wayne - South Bend,D805,Saint Bernard Elementary School,1,1.32%,4,5.26%,76
9230,Lutheran Schools of Indiana,,,65,0.82%,575,7.29%,7889
9230,Lutheran Schools of Indiana,A040,St Peter Immanuel Lutheran School,1,2.33%,2,4.65%,43
9230,Lutheran Schools of Indiana,A045,Wyneken Memorial Lutheran School,0,0.00%,10,4.61%,217
9230,Lutheran Schools of Indiana,A195,Concordia Lutheran High School,4,0.51%,31,3.97%,781
9230,Lutheran Schools of Indiana,A200,Suburban Bethlehem Lutheran School,2,1.31%,10,6.54%,153
9230,Lutheran Schools of Indiana,A205,Concordia Lutheran School,4,1.03%,18,4.63%,389
9230,Lutheran Schools of Indiana,A215,Emmanuel St Michael Lutheran Sch,0,0.00%,22,6.40%,344
9230,Lutheran Schools of Indiana,A220,Emmaus Lutheran School,0,0.00%,3,1.55%,193
9230,Lutheran Schools of Indiana,A225,Holy Cross Lutheran School,6,1.46%,26,6.31%,412
9230,Lutheran Schools of Indiana,A235,Lutheran South Unity School,10,5.75%,14,8.05%,174
9230,Lutheran Schools of Indiana,A245,Saint Paul Lutheran School,0,0.00%,13,7.14%,182
9230,Lutheran Schools of Indiana,A248,Ascension Lutheran School,1,0.71%,11,7.86%,140
9230,Lutheran Schools of Indiana,A250,Saint Peter's Lutheran School,0,0.00%,15,7.01%,214
9230,Lutheran Schools of Indiana,A365,St John-Emmanuel Lutheran School,0,0.00%,18,12.95%,139
9230,Lutheran Schools of Indiana,A370,Central Lutheran School,0,0.00%,12,3.48%,345
9230,Lutheran Schools of Indiana,A375,Woodburn Lutheran School,0,0.00%,13,9.85%,132
9230,Lutheran Schools of Indiana,A430,White Creek Lutheran School,0,0.00%,12,9.38%,128
9230,Lutheran Schools of Indiana,A435,Saint Peter Lutheran School,7,1.59%,33,7.50%,440
9230,Lutheran Schools of Indiana,A695,Saint John Ev Lutheran School,0,0.00%,4,7.69%,52
9230,Lutheran Schools of Indiana,B275,Saint John Lutheran School,0,0.00%,11,17.19%,64
9230,Lutheran Schools of Indiana,B367,Redeemer Lutheran School,0,0.00%,13,13.68%,95
9230,Lutheran Schools of Indiana,B445,Immanuel Lutheran School,0,0.00%,36,11.15%,323
9230,Lutheran Schools of Indiana,B450,Saint John Lutheran School,0,0.00%,13,14.44%,90
9230,Lutheran Schools of Indiana,B452,Trinity Lutheran High School,4,2.82%,11,7.75%,142
9230,Lutheran Schools of Indiana,B465,Lutheran Central School,0,0.00%,10,7.87%,127
9230,Lutheran Schools of Indiana,B850,Trinity Lutheran School,2,1.04%,15,7.81%,192
9230,Lutheran Schools of Indiana,C050,Trinity Lutheran School,0,0.00%,4,4.88%,82
9230,Lutheran Schools of Indiana,C065,St Paul's Lutheran School,0,0.00%,10,6.02%,166
9230,Lutheran Schools of Indiana,C150,Saint John Lutheran School,1,0.98%,10,9.80%,102
9230,Lutheran Schools of Indiana,C267,Holy Cross Lutheran School,2,0.83%,24,10.00%,240
9230,Lutheran Schools of Indiana,C270,Lutheran High School,9,3.59%,20,7.97%,251
9230,Lutheran Schools of Indiana,C315,Calvary Lutheran School,3,1.34%,18,8.04%,224
9230,Lutheran Schools of Indiana,C395,Trinity Lutheran School,4,3.33%,13,10.83%,120
9230,Lutheran Schools of Indiana,C400,Saint John Ev Lutheran School,1,0.54%,16,8.65%,185
9230,Lutheran Schools of Indiana,C512,Our Shepherd Lutheran School,0,0.00%,11,7.33%,150
9230,Lutheran Schools of Indiana,C680,Emmaus Lutheran School,0,0.00%,2,10.53%,19
9230,Lutheran Schools of Indiana,C985,St John Lutheran School,0,0.00%,13,8.84%,147
9230,Lutheran Schools of Indiana,D090,Immanuel Lutheran School,0,0.00%,9,5.26%,171
9230,Lutheran Schools of Indiana,D317,Resurrection Lutheran Academy,1,1.79%,2,3.57%,56
9230,Lutheran Schools of Indiana,D375,Saint Peter Lutheran School,0,0.00%,3,3.41%,88
9230,Lutheran Schools of Indiana,D435,Saint James Lutheran School,0,0.00%,19,9.13%,208
9230,Lutheran Schools of Indiana,D625,Evansville Lutheran School,3,1.78%,25,14.79%,169
9240,The Oaks Academy,,,4,0.55%,45,6.16%,730
9240,The Oaks Academy,B297,The Oaks Academy - Brookside,0,0.00%,11,4.66%,236
9240,The Oaks Academy,C773,The Oaks Academy - Fall Creek,4,1.16%,28,8.09%,346
9240,The Oaks Academy,C774,The Oaks Academy - Middle School,0,0.00%,6,4.05%,148
