CORP,CORP_NAME,SCHL_NAME_CODE,SCHL_NAME,ENR_ELL_N,ENR_ELL_RATIO,ENR_SPEC_ED_N,ENR_SPEC_ED_RATIO,ENROLLMENT_N
370,Flat Rock-Hawcreek School Corp,409,Hope Elementary School,2,0.45%,67,15.16%,442
370,Flat Rock-Hawcreek School Corp,410,Hauser Jr-Sr High School,7,1.66%,57,13.54%,421
395,Benton Community School Corp,,,44,2.35%,438,23.41%,1871
395,Benton Community School Corp,421,Otterbein Elementary School,6,1.88%,37,11.60%,319
395,Benton Community School Corp,433,Boswell Elementary School,22,13.25%,49,29.52%,166
395,Benton Community School Corp,445,Benton Central Jr-Sr High School,10,1.10%,241,26.48%,910
395,Benton Community School Corp,446,Prairie Crossing Elementary School,6,1.26%,111,23.32%,476
515,Blackford County Schools,,,14,0.82%,285,16.69%,1708
515,Blackford County Schools,485,Montpelier School,4,1.69%,59,24.89%,237
515,Blackford County Schools,489,Blackford High School,5,0.90%,73,13.08%,558
515,Blackford County Schools,491,Blackford Junior High School,1,0.41%,46,18.78%,245
515,Blackford County Schools,494,North Side Elementary School,0,0.00%,55,19.64%,280
515,Blackford County Schools,501,Southside Elementary School,4,1.03%,52,13.40%,388
615,Western Boone Co Com Sch Dist,,,4,0.23%,279,16.33%,1709
615,Western Boone Co Com Sch Dist,521,Granville Wells Elementary School,1,0.21%,88,18.57%,474
615,Western Boone Co Com Sch Dist,537,Thorntown Elementary School,0,0.00%,69,16.24%,425
615,Western Boone Co Com Sch Dist,539,Western Boone Jr-Sr High School,3,0.37%,122,15.06%,810
630,Zionsville Community Schools,,,49,0.71%,813,11.73%,6931
630,Zionsville Community Schools,510,Zionsville West Middle School,3,0.29%,144,14.09%,1022
630,Zionsville Community Schools,511,Zionsville Middle School,2,0.17%,133,11.44%,1163
630,Zionsville Community Schools,512,Zionsville Community High School,6,0.31%,224,11.58%,1935
630,Zionsville Community Schools,514,Eagle Elementary School,15,3.64%,37,8.98%,412
630,Zionsville Community Schools,517,Zionsville Pleasant View Elem Sch,0,0.00%,109,13.28%,821
630,Zionsville Community Schools,541,Union Elementary School,6,0.93%,59,9.15%,645
630,Zionsville Community Schools,542,Stonegate Elementary,6,1.20%,54,10.76%,502
630,Zionsville Community Schools,544,Boone Meadow,11,2.55%,53,12.30%,431
665,Lebanon Community School Corp,,,52,1.51%,639,18.61%,3434
665,Lebanon Community School Corp,534,Perry Worth Elementary School,10,2.68%,63,16.89%,373
665,Lebanon Community School Corp,553,Lebanon Senior High School,5,0.51%,169,17.32%,976
665,Lebanon Community School Corp,557,Lebanon Middle School,5,0.63%,153,19.42%,788
665,Lebanon Community School Corp,561,Central Elementary School,9,2.59%,40,11.49%,348
665,Lebanon Community School Corp,565,Harney Elementary School,13,2.58%,82,16.30%,503
665,Lebanon Community School Corp,569,Hattie B Stokes Elementary School,10,2.24%,132,29.60%,446
670,Brown County School Corporation,,,6,0.30%,493,24.64%,2001
670,Brown County School Corporation,571,Brown County Intermediate School,1,0.36%,86,30.94%,278
670,Brown County School Corporation,573,Brown County High School,3,0.45%,121,18.33%,660
670,Brown County School Corporation,577,Van Buren Elementary School,0,0.00%,64,29.22%,219
670,Brown County School Corporation,581,Helmsburg Elementary School,0,0.00%,62,27.93%,222
670,Brown County School Corporation,585,Sprunica Elementary School,1,0.33%,78,25.74%,303
670,Brown County School Corporation,587,Brown County Junior High,1,0.31%,82,25.71%,319
750,Carroll Consolidated School Corp,,,2,0.18%,108,9.73%,1110
750,Carroll Consolidated School Corp,621,Carroll Senior High School,1,0.28%,38,10.70%,355
750,Carroll Consolidated School Corp,623,Carroll Junior High School,0,0.00%,21,12.28%,171
750,Carroll Consolidated School Corp,629,Carroll Elementary School,1,0.17%,49,8.39%,584
755,Delphi Community School Corp,,,57,4.04%,154,10.91%,1411
755,Delphi Community School Corp,609,Delphi Community Middle School,8,2.25%,42,11.80%,356
755,Delphi Community School Corp,637,Delphi Community High School,17,3.95%,48,11.16%,430
755,Delphi Community School Corp,641,Delphi Community Elementary School,32,5.12%,64,10.24%,625
775,Pioneer Regional School Corp,,,18,1.98%,107,11.75%,911
775,Pioneer Regional School Corp,645,Pioneer Jr-Sr High School,8,1.86%,37,8.62%,429
