CORP_NAME_CODE1,CORP_NAME1,SCHL_NAME_CODE,SCHL_NAME,GRADE,ENROLLMENT_N,ENROLLMENT_N1
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,Grade 9,,139
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,Grade 10,,139
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,Grade 11,,139
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,Grade 12,,139
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,Grade 12+/Adult,,139
9200,Archdiocese of Indianapolis,B050,Holy Family School,Pre-Kindergarten,47,339
9200,Archdiocese of Indianapolis,B050,Holy Family School,Kindergarten,27,339
9200,Archdiocese of Indianapolis,B050,Holy Family School,Grade 1,34,339
9200,Archdiocese of Indianapolis,B050,Holy Family School,Grade 2,27,339
9200,Archdiocese of Indianapolis,B050,Holy Family School,Grade 3,34,339
9200,Archdiocese of Indianapolis,B050,Holy Family School,Grade 4,35,339
9200,Archdiocese of Indianapolis,B050,Holy Family School,Grade 5,40,339
9200,Archdiocese of Indianapolis,B050,Holy Family School,Grade 6,35,339
9200,Archdiocese of Indianapolis,B050,Holy Family School,Grade 7,30,339
9200,Archdiocese of Indianapolis,B050,Holy Family School,Grade 8,30,339
9200,Archdiocese of Indianapolis,B050,Holy Family School,Grade 9,,339
9200,Archdiocese of Indianapolis,B050,Holy Family School,Grade 10,,339
9200,Archdiocese of Indianapolis,B050,Holy Family School,Grade 11,,339
9200,Archdiocese of Indianapolis,B050,Holy Family School,Grade 12,,339
9200,Archdiocese of Indianapolis,B050,Holy Family School,Grade 12+/Adult,,339
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Pre-Kindergarten,56,362
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Kindergarten,36,362
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Grade 1,32,362
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Grade 2,30,362
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Grade 3,40,362
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Grade 4,34,362
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Grade 5,45,362
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Grade 6,23,362
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Grade 7,32,362
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Grade 8,34,362
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Grade 9,,362
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Grade 10,,362
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Grade 11,,362
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Grade 12,,362
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Grade 12+/Adult,,362
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,Pre-Kindergarten,88,203
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,Kindergarten,21,203
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,Grade 1,15,203
