,School No.,School Name,County,2011,2012,2013,2014,2015,2016
95,A865,Holy Family School,Dubois,,2739.68,2545.19,2560.32,,
96,B050,Holy Family School,Floyd,,,3709.29,3596.69,3538.64,3809.09
97,D245,Holy Family School,St Joseph,4235.26,4243.17,4197.87,4098.9,4307.26,4554.27
98,C545,Holy Name School,Marion,4184.84,3605.84,3271.8,3348.33,3452.2,3770.72
99,D560,Holy Redeemer School,Vanderburgh,4192.23,3871.66,3653.57,3447.02,3514.32,3692.09
100,D565,Holy Rosary School,Vanderburgh,,3329.19,3826.26,3666.02,3950.83,3875.14
101,C390,Holy Spirit School,Marion,3330.1,4146.21,4405.7,3521.13,4204.2,4446.15
102,D570,Holy Spirit School,Vanderburgh,3126.08,3543.65,4391.21,3725.34,3947.56,4291.01
103,A871,Holy Trinity Catholic School,Dubois,,,,,2433.57,2467.8
104,A309,Horizon Christian Academy,Allen,3256.72,4380.44,4977.03,4973.23,5084.11,
105,A302,Horizon Christian Academy II,Allen,,,4675.06,4702.1,4818.94,
106,A307,Horizon Christian Academy III,Allen,,4415.31,4630.61,4696.4,4854.57,5629.3
107,C282,Horizon Christian School,Marion,4240.96,4258.28,4625.35,4507.66,4649.87,4595.53
108,C563,Horizon Christian School-Shepherd Campus,Marion,,4454.97,5053.46,4996.68,5967.31,6073.88
109,B725,Howe School,LaGrange,,,,,4754.76,5007.68
110,B418,Huntington Catholic School,Huntington,4175.0,3611.05,3732.79,4010.37,4113.37,4220.42
111,C600,Immaculate Heart of Mary School,Marion,,,,,,
112,B445,Immanuel Lutheran School,Jackson,,,,,1329.72,1953.72
113,B190,Indiana Academy,Hamilton,,,5094.9,5388.72,5130.09,5222.24
114,C175,Indiana Christian Academy,Madison,,3830.89,4416.1,4333.29,4334.26,4407.43
115,C455,Indianapolis Junior Academy,Marion,3945.56,4618.49,4796.65,4583.03,4572.46,4709.35
116,B302,Islamic School of Plainfield,Hendricks,,,,,,5587.96
117,B483,Jay County Christian Academy,Jay,3461.02,3432.59,4640.74,4653.87,4727.63,5129.92
118,D722,John Paul II Catholic High School,Vigo,,,,,,
119,B295,Kingsway Christian School,Hendricks,,3994.92,3659.59,3799.22,3934.4,4044.19
120,D440,Lafayette Christian School,Tippecanoe,,3687.02,3982.13,4040.77,4222.14,4277.18
121,B595,Lakeland Christian Academy,Kosciusko,,4495.14,4897.88,4612.69,4144.92,4331.69
122,B145,Lakeview Christian School,Grant,4679.47,4530.28,4568.58,4465.55,5156.23,5298.79
123,A740,Lakewood Park Christian School,Dekalb,3696.63,3950.49,3900.6,3996.04,3849.51,3954.87
124,B248,Legacy Christian School,Hamilton,,,,4434.67,3940.19,4192.33
125,B299,Legacy Learning Center,Marion,,,,,,5193.01
126,C226,Liberty Christian Elementary,Madison,4248.27,4331.42,4450.14,4371.93,4538.1,4703.52
127,C225,Liberty Christian School,Madison,5258.52,4911.51,5039.43,4897.78,5016.11,4761.41
128,C224,Liberty Christian School (7-8),Madison,4242.75,4350.08,4403.84,4407.91,4623.21,
129,C927,Lighthouse Christian Academy,Monroe,,4006.18,4214.38,4115.73,4050.62,4377.67
130,C270,Lutheran High School,Marion,4624.14,4935.29,5226.74,5051.59,4736.5,4675.97
131,A235,Lutheran South Unity School,Allen,4100.69,4263.15,4607.44,4515.04,5153.04,5086.88
132,D165,Marian High School,St Joseph,5463.6,5177.23,5368.69,4719.35,4729.51,4748.27
133,C125,Marquette Catholic High School,LaPorte,5156.79,5139.31,5497.06,5468.77,5217.58,5476.76
134,D530,Mater Dei High School,Vanderburgh,,4343.75,4087.98,4187.93,4154.22,4004.32
135,D315,Michiana Christian School,St Joseph,,,3506.62,3435.68,3500.84,4485.1
136,B747,Midwest Elite Preparatory Academy,Lake,,,4652.01,4689.96,4739.81,5205.71
137,D177,Mishawaka Catholic School,St Joseph,4088.41,4044.88,3361.17,3209.55,3416.78,3544.2
138,C965,Mooresville Christian Academy,Morgan,,,4395.56,4213.12,4320.29,4039.63
139,B951,Morning Star Academy,Lake,,,,,,5173.5
140,B904,Mosaic Middle School,Lake,,,,5458.9,5864.14,6455.32
141,A130,Most Precious Blood School,Allen,4321.48,4011.65,3386.74,3581.91,3429.62,3474.51
142,C628,MTI School of Knowledge,Marion,4437.94,4598.66,4657.87,4825.93,5302.42,5491.66
143,D065,Nativity of Our Savior School,Porter,,4353.42,4368.69,4083.6,3838.19,3910.17
144,C265,Nativity School,Marion,2664.29,3091.24,3320.8,3660.99,3658.52,3629.27
145,D249,New Vision Christian Academy,St Joseph,,,4744.44,4678.51,4718.74,5511.48
146,D158,North Liberty Christian School,St Joseph,,,2536.36,2875.0,3042.32,3182.82
147,A405,North Star Montessori School,Bartholomew,,,,,5114.64,5049.62
148,C105,Notre Dame Elementary School,LaPorte,4110.34,3899.01,4191.1,3762.22,4481.54,4592.62
149,D135,Oldenburg Academy,Franklin,,4038.66,4555.53,4044.72,4384.35,4066.61
150,B246,Our Lady of Grace School,Hamilton,,3987.33,3553.99,3631.81,3735.4,3823.73
151,C025,Our Lady Of Grace School,Lake,4172.31,4146.34,4430.43,4434.35,4796.59,4819.94
152,D250,Our Lady Of Hungary School,St Joseph,4473.94,4449.29,4701.52,4305.84,4492.95,4830.07
153,C605,Our Lady Of Lourdes School,Marion,4178.12,4120.2,4347.71,3661.48,3961.64,3931.32
154,B060,Our Lady Of Perpetual School,Floyd,2784.8,2940.45,3151.09,3404.2,3597.48,3718.92
155,A575,Our Lady Of Providence High School,Clark,,4376.41,4419.4,4344.68,4101.46,4164.23
156,B535,Our Lady Of The Greenwood School,Johnson,4209.55,4099.07,4159.41,3361.94,3714.61,3504.36
157,A106,Our Lady School,Allen,,,,,,4282.75
158,C512,Our Shepherd Lutheran School,Hendricks,,4479.84,4614.26,4041.85,4723.03,4178.48
159,B167,Paddock View Residential Center,Grant,5298.17,5057.69,5118.21,,,
