School No.,School Name,County,2011,2012,2013,2014,2015,2016
C270,Lutheran High School,Marion,69362.12,133252.88,229976.49,474849.52,454703.66,565791.91
A235,Lutheran South Unity School,Allen,77913.05,213157.61,575929.55,695315.43,541068.78,330647.10
D165,Marian High School,St Joseph,224007.56,336520.23,751616.30,1368610.25,1556009.40,1619159.01
C125,Marquette Catholic High School,LaPorte,87665.43,210711.69,373800.32,541408.02,782637.60,684594.86
D530,Mater Dei High School,Vanderburgh,28072.34,52125.04,110375.39,544431.52,639749.92,588635.72
D315,Michiana Christian School,St Joseph,,3140.40,70132.48,133991.56,136532.57,161463.72
B747,Midwest Elite Preparatory Academy,Lake,,,269816.58,562795.22,298608.34,260285.55
D177,Mishawaka Catholic School,St Joseph,73591.35,202244.04,389895.76,645119.30,628687.60,577705.12
C965,Mooresville Christian Academy,Morgan,25262.42,28360.96,210987.02,459229.84,609160.81,561508.17
B951,Morning Star Academy,Lake,,,,,,62082.00
B904,Mosaic Middle School,Lake,,,,169225.79,322527.88,335676.78
A130,Most Precious Blood School,Allen,73465.22,160465.86,382702.15,533704.23,538450.90,583717.98
C628,MTI School of Knowledge,Marion,310656.12,565635.30,857048.27,1037575.51,1113508.07,1257589.42
D065,Nativity of Our Savior School,Porter,22742.14,100128.72,200959.84,334854.92,253320.68,250251.07
C265,Nativity School,Marion,37300.00,71098.48,119548.94,230642.23,354876.68,362926.71
D249,New Vision Christian Academy,St Joseph,,9000.00,85400.00,74856.10,84937.36,132275.59
D158,North Liberty Christian School,St Joseph,,15250.00,27900.00,51750.00,76057.88,35011.00
A405,North Star Montessori School,Bartholomew,,,,,56261.00,80793.85
C105,Notre Dame Elementary School,LaPorte,45213.75,42889.08,150879.74,240782.07,345078.76,326076.30
D135,Oldenburg Academy,Franklin,14649.97,40386.63,59221.92,210325.52,276214.03,256196.32
B246,Our Lady of Grace School,Hamilton,16921.51,79746.69,145713.49,196117.63,272684.19,214128.81
C025,Our Lady Of Grace School,Lake,58412.40,157560.82,305699.69,403525.48,393320.76,433794.83
D250,Our Lady Of Hungary School,St Joseph,290805.81,493871.72,705228.32,671711.66,763801.50,864582.20
C605,Our Lady Of Lourdes School,Marion,96096.74,160687.71,360859.79,369809.51,392201.87,389201.00
B060,Our Lady Of Perpetual School,Floyd,33417.58,52928.03,141799.13,282548.31,284201.23,264043.46
A575,Our Lady Of Providence High School,Clark,25221.34,65646.10,145840.29,412745.02,442957.21,445572.29
B535,Our Lady Of The Greenwood School,Johnson,46305.04,188557.35,436738.38,376537.23,471754.87,490609.74
A106,Our Lady School,Allen,,,,,,436840.64
