IDOE_CORPORATION_ID,CORPORATION_NAME,IDOE_SCHOOL_ID,SCHOOL_NAME,2016 Grade
9230,Lutheran Schools of Indiana,A245,Saint Paul Lutheran School,A
9230,Lutheran Schools of Indiana,A248,Ascension Lutheran School,B
9230,Lutheran Schools of Indiana,A250,Saint Peter's Lutheran School,A
9230,Lutheran Schools of Indiana,A365,St John-Emmanuel Lutheran School,C
9230,Lutheran Schools of Indiana,A370,Central Lutheran School,B
9230,Lutheran Schools of Indiana,A375,Woodburn Lutheran School,A
9230,Lutheran Schools of Indiana,A430,White Creek Lutheran School,A
9230,Lutheran Schools of Indiana,A435,Saint Peter Lutheran School,B
9230,Lutheran Schools of Indiana,B275,Saint John Lutheran School,C
9230,Lutheran Schools of Indiana,B367,Redeemer Lutheran School,B
9230,Lutheran Schools of Indiana,B445,Immanuel Lutheran School,A
9230,Lutheran Schools of Indiana,B450,Saint John Lutheran School,F
9230,Lutheran Schools of Indiana,B452,Trinity Lutheran High School,A
9230,Lutheran Schools of Indiana,B465,Lutheran Central School,A
9230,Lutheran Schools of Indiana,B850,Trinity Lutheran School,B
9230,Lutheran Schools of Indiana,C050,Trinity Lutheran School,B
9230,Lutheran Schools of Indiana,C065,St Paul's Lutheran School,A
9230,Lutheran Schools of Indiana,C150,Saint John Lutheran School,A
9230,Lutheran Schools of Indiana,C267,Holy Cross Lutheran School,A
9230,Lutheran Schools of Indiana,C270,Lutheran High School,B
9230,Lutheran Schools of Indiana,C315,Calvary Lutheran School,B
9230,Lutheran Schools of Indiana,C395,Trinity Lutheran School,B
9230,Lutheran Schools of Indiana,C400,Saint John Ev Lutheran School,B
9230,Lutheran Schools of Indiana,C512,Our Shepherd Lutheran School,C
9230,Lutheran Schools of Indiana,C680,Emmaus Lutheran School,No Grade
9230,Lutheran Schools of Indiana,C985,St John Lutheran School,A
9230,Lutheran Schools of Indiana,D090,Immanuel Lutheran School,A
9230,Lutheran Schools of Indiana,D375,Saint Peter Lutheran School,B
9230,Lutheran Schools of Indiana,D435,Saint James Lutheran School,A
9230,Lutheran Schools of Indiana,D625,Evansville Lutheran School,B
9240,The Oaks Academy,B297,The Oaks Academy - Brookside,A
9240,The Oaks Academy,C773,The Oaks Academy - Fall Creek,A
9240,The Oaks Academy,C774,The Oaks Academy - Middle School,A
-999,Independent Non-Public Schools,A170,Blackhawk Christian Mdl/High Sch,A
-999,Independent Non-Public Schools,A172,Blackhawk Christian Elementary Sch,A
-999,Independent Non-Public Schools,A236,Cornerstone College Prep Sch,F
-999,Independent Non-Public Schools,A249,Central Christian School,C
-999,Independent Non-Public Schools,A260,Aboite Christian School,C
-999,Independent Non-Public Schools,A302,Horizon Christian Academy 2,F
-999,Independent Non-Public Schools,A307,Horizon Christian Academy 3,D
-999,Independent Non-Public Schools,A309,Horizon Christian Academy,F
-999,Independent Non-Public Schools,A352,Gateway Woods School,F
-999,Independent Non-Public Schools,A405,North Star Montessori School,No Grade
-999,Independent Non-Public Schools,A450,Columbus Christian School Inc,B
-999,Independent Non-Public Schools,A480,James E Davis School,No Grade
-999,Independent Non-Public Schools,A724,Good Shepherd Christian Academy,D
-999,Independent Non-Public Schools,A740,Lakewood Park Christian School,A
-999,Independent Non-Public Schools,A746,Heritage Hall Christian School,A
-999,Independent Non-Public Schools,A875,Clinton Christian School,B
-999,Independent Non-Public Schools,A990,Elkhart Christian Academy,B
-999,Independent Non-Public Schools,B015,Bethany Christian School,A
-999,Independent Non-Public Schools,B045,Christian Academy of Indiana,A
-999,Independent Non-Public Schools,B085,Covington Christian School,C
-999,Independent Non-Public Schools,B136,The King's Academy,B
-999,Independent Non-Public Schools,B145,Lakeview Christian School Inc,F
-999,Independent Non-Public Schools,B160,Eman Schools,A
-999,Independent Non-Public Schools,B161,Fishers Christian Academy,B
-999,Independent Non-Public Schools,B167,Paddock View Residential Center,No Grade
-999,Independent Non-Public Schools,B190,Indiana Academy,F
-999,Independent Non-Public Schools,B241,University High School of Indiana,A
-999,Independent Non-Public Schools,B248,Legacy Christian School,A
-999,Independent Non-Public Schools,B290,Bethesda Christian School,B
-999,Independent Non-Public Schools,B295,Kingsway Christian School,A
-999,Independent Non-Public Schools,B302,Islamic School of Plainfield Inc,No Grade
-999,Independent Non-Public Schools,B455,Seymour Christian Academy,D
-999,Independent Non-Public Schools,B469,Covenant Christian High School,A
-999,Independent Non-Public Schools,B470,DeMotte Christian School,B
-999,Independent Non-Public Schools,B473,White's Academy,F
-999,Independent Non-Public Schools,B483,Jay County Christian Academy,C
-999,Independent Non-Public Schools,B493,Christian Academy of Madison,C
-999,Independent Non-Public Schools,B557,Pierceton Woods Academy,No Grade
-999,Independent Non-Public Schools,B595,Lakeland Christian Academy,F
-999,Independent Non-Public Schools,B600,Warsaw Christian School,A
-999,Independent Non-Public Schools,B725,Howe School,B
-999,Independent Non-Public Schools,B747,Midwest Elite Prep Acad Inc,No Grade
-999,Independent Non-Public Schools,B748,Faith Academy,D
-999,Independent Non-Public Schools,B764,Avicenna Academy,D
-999,Independent Non-Public Schools,B771,Crown Point Christian School,B
-999,Independent Non-Public Schools,B806,Ambassador Christian Academy,D
-999,Independent Non-Public Schools,B807,Willowglen Academy,No Grade
-999,Independent Non-Public Schools,B815,Calumet Christian School,F
-999,Independent Non-Public Schools,B901,Trinity Educational Daycare & Acad,No Grade
-999,Independent Non-Public Schools,B904,Mosaic Community School,No Grade
-999,Independent Non-Public Schools,B928,Spirit of God Accelerated School,F
-999,Independent Non-Public Schools,B951,Morning Star Academy,No Grade
-999,Independent Non-Public Schools,C020,Highland Christian School,B
-999,Independent Non-Public Schools,C112,Door Prairie Adventist School,D
-999,Independent Non-Public Schools,C130,Saint Paul Lutheran School,C
-999,Independent Non-Public Schools,C175,Indiana Christian Academy,D
-999,Independent Non-Public Schools,C215,Cross Street Christian School,F
-999,Independent Non-Public Schools,C223,Delaware Christian Academy,No Grade
-999,Independent Non-Public Schools,C224,Liberty Christian School (7-8),D
-999,Independent Non-Public Schools,C225,Liberty Christian School,B
-999,Independent Non-Public Schools,C226,Liberty Christian Elementary,C
-999,Independent Non-Public Schools,C250,Anderson Christian School,C
-999,Independent Non-Public Schools,C257,Damar Academy,F
-999,Independent Non-Public Schools,C271,Curtis Wilson Primary School,A
-999,Independent Non-Public Schools,C275,Heritage Christian School,A
-999,Independent Non-Public Schools,C281,Cornerstone Baptist Academy,B
-999,Independent Non-Public Schools,C282,Horizon Christian School,B
-999,Independent Non-Public Schools,C325,Suburban Christian School,D
-999,Independent Non-Public Schools,C349,Southport Presbyterian Chrst Sch,B
-999,Independent Non-Public Schools,C375,Traders Point Christian Academy,C
-999,Independent Non-Public Schools,C396,Burge Terrace Christian School,No Grade
-999,Independent Non-Public Schools,C455,Indianapolis Junior Academy,C
-999,Independent Non-Public Schools,C475,Hasten Hebrew Acad Of Indianapolis,A
-999,Independent Non-Public Schools,C495,Colonial Christian School,C
-999,Independent Non-Public Schools,C514,Crosspointe Christian Academy,C
-999,Independent Non-Public Schools,C527,Covenant Christian High School,A
-999,Independent Non-Public Schools,C561,Trinity Christian School,C
-999,Independent Non-Public Schools,C563,Horizon Christian School-Shepherd ,F
-999,Independent Non-Public Schools,C575,Central Christian Academy,A
-999,Independent Non-Public Schools,C580,Calvary Christian School,A
-999,Independent Non-Public Schools,C589,The Independence Academy,F
-999,Independent Non-Public Schools,C628,MTI School of Knowledge,D
-999,Independent Non-Public Schools,C677,International Sch of IN HS (9-12),A
-999,Independent Non-Public Schools,C690,Capitol City SDA Church School,F
-999,Independent Non-Public Schools,C699,TP Schools,A
-999,Independent Non-Public Schools,C791,School for Community Learning,C
-999,Independent Non-Public Schools,C899,Pinnacle School,F
-999,Independent Non-Public Schools,C905,Adventist Christian Elementary,No Grade
-999,Independent Non-Public Schools,C918,The Prep School,No Grade
-999,Independent Non-Public Schools,C927,Lighthouse Christian Academy,A
-999,Independent Non-Public Schools,C933,Clear Creek Christian School,B
-999,Independent Non-Public Schools,C940,Tabernacle Christian Schools,C
-999,Independent Non-Public Schools,C965,Mooresville Christian Academy,B
-999,Independent Non-Public Schools,C966,Greenwood Christian Academy,B
-999,Independent Non-Public Schools,D056,Shults-Lewis Child & Family Srvs,No Grade
-999,Independent Non-Public Schools,D058,Midwest Academy MCYF,No Grade
-999,Independent Non-Public Schools,D073,Victory Christian Academy,B
-999,Independent Non-Public Schools,D080,Portage Christian School,D
-999,Independent Non-Public Schools,D158,North Liberty Christian School,C
-999,Independent Non-Public Schools,D189,Covenant Christian School,A
-999,Independent Non-Public Schools,D195,South Bend Hebrew Day School,A
-999,Independent Non-Public Schools,D217,Trinity School At Greenlawn,F
-999,Independent Non-Public Schools,D249,New Vision Christian Academy,F
-999,Independent Non-Public Schools,D300,South Bend Jr Academy School,No Grade
-999,Independent Non-Public Schools,D305,Community Baptist Christian School,C
-999,Independent Non-Public Schools,D310,Granger Christian School,A
-999,Independent Non-Public Schools,D315,Michiana Christian School,D
-999,Independent Non-Public Schools,D329,Grace Christian Academy Inc,B
-999,Independent Non-Public Schools,D440,Lafayette Christian School,A
-999,Independent Non-Public Schools,D451,T. C. Harris School,F
-999,Independent Non-Public Schools,D452,Faith Christian School,A
-999,Independent Non-Public Schools,D485,Evansville Christian School,A
-999,Independent Non-Public Schools,D525,Evansville Day School,A
-999,Independent Non-Public Schools,D676,Small World Learning Center,No Grade
-999,Independent Non-Public Schools,D725,Holy Cross School,F
-999,Independent Non-Public Schools,D748,Terre Haute SDA School,No Grade
-999,Independent Non-Public Schools,D860,Richmond Academy,F
-999,Independent Non-Public Schools,D862,Community Christian School,A
-999,Independent Non-Public Schools,D875,Kingdom Academy of Bluffton Inc,B
-999,Independent Non-Public Schools,D907,T.R.O.Y. Center,F
