Index,School No.,School Name,County,2011,2012,2013,2014,2015,2016
1,A975,Saint Thomas The Apostle School,Elkhart,53176.44,118361.64,204031.18,233459.19,269902.45,276422.31
1,A180,Saint Vincent DePaul School,Allen,24796.13,167912.3,435601.52,557662.61,677863.94,784953.75
1,A980,Saint Vincent DePaul School,Elkhart,102036.44,256674.96,402151.17,340695.82,646739.81,696918.69
1,C160,Saint Vincent DePaul School,Lawrence,8146,140789.39,227083.66,300571.93,314327.45,275028.03
1,D105,Saint Wendel School,Posey,3190,0,0,44877.55,58817.17,73680.14
1,B540,Saints Francis and Clare Catholic School,Johnson,20762.84,100804.97,230811.99,370865.64,378617.13,401951.17
1,B395,Saints Joan of Arc & Patrick School,Howard,4927.55,56777.61,274409.81,513192.22,644764.29,668251.58
1,B125,Saints Peter & Paul School,Gibson,0,0,0,0,0,0
1,C710,Scecina Memorial School,Marion,225673.83,481269.41,1188844.62,1553023.93,1578413.65,1692605.22
1,D842,Seton Catholic High School,Wayne,28797.41,67081.38,179298.7,261764.17,323494.28,352721.59
1,B455,Seymour Christian Academy,Jackson,0,0,77738.23,196688.08,231548.03,277456.71
1,B505,Shawe Memorial High School,Jefferson,13334.05,30216.3,108215.87,316110.31,347279.56,305010.33
1,D195,South Bend Hebrew Day School,St Joseph,0,40921.2,194203.77,310071.65,369737.71,413962.02
1,D300,South Bend Junior Academy School,St Joseph,36375,21750,54753.32,80003.8,71286.08,87104.64
1,C349,Southport Presbyterian Christian School,Marion,17080,57400,77873.14,111262.67,106522.8,119307.33
1,B928,Spirit of God Accelerated School,Lake,0,27000,296100,336166.81,382708.16,194392.72
1,A200,Suburban Bethlehem Lutheran School,Allen,0,54131.43,101405.11,166867.51,187670.75,223995.07
1,C325,Suburban Christian School,Marion,0,0,0,103372.68,498859.52,620293.63
1,C940,Tabernacle Christian Schools,Morgan,0,0,199987.21,630394.51,771517.43,964633.88
1,D748,Terre Haute Seventh Day Adventist School,Vigo,36000,31500,55400,61100,62400,58699.4
1,C589,The Independence Academy,Marion,0,11646.88,40443.96,0,46432.86,70294.79
1,B136,The King's Academy,Grant,18688.2,92443.6,254896.87,385628.2,513130.01,555134.06
1,C773,The Oaks Academy,Marion,0,357633.38,715460.75,910881.07,798824.02,835685.64
1,B297,The Oaks Academy - Brookside,Marion,0,40500,219569.55,442474.96,543889.16,583750.98
1,C774,The Oaks Academy - Middle School,Marion,0,0,0,0,304281.16,385910.73
1,C918,The Prep School,Monroe,0,0,61990.04,66365.85,0,0
1,D458,Tippecanoe Christian School,Tippecanoe,30713.18,0,0,0,0,0
1,B293,Todd Academy,Marion,0,26235.88,70859.8,132474.43,0,0
1,C699,TP Schools,Marion,0,91953.88,507396.72,711408.5,441402.02,378717.87
1,C375,Traders Point Christian Academy,Boone,55589.65,180151.93,384614.01,577133.64,685436.48,969172.42
1,C561,Trinity Christian School,Marion,261337.16,403378.95,926857.95,972631.34,1029442.44,943040.05
1,B901,Trinity Educational Daycare & Academy,Lake,0,166500,324300,311636.54,186367.9,0
1,B452,Trinity Lutheran High School,Jackson,0,0,0,242220.59,234984.84,202408.9
1,B850,Trinity Lutheran School,Lake,15850,47580.57,84751.44,195391.1,214288.49,283214.02
1,C050,Trinity Lutheran School,Lake,33150,70293,63545,66506.5,77845.5,95784.24
1,C395,Trinity Lutheran School,Marion,96728.09,180325.29,335222.52,469843.55,345672.14,208953
1,D217,Trinity School At Greenlawn,St Joseph,0,96529.54,138894.08,260902.55,265920.79,281496.83
1,D907,TROY Center,Whitley,0,54824.56,66741.36,109527.1,113915.66,153592.95
1,B241,University High School of Indiana,Hamilton,4389.21,30476.66,0,45290.09,59317.25,0
1,D073,Victory Christian Academy,Porter,91376.83,176859.25,337586.8,495723.6,591434.56,628664.11
1,B600,Warsaw Christian School,Kosciusko,0,44438.5,193676.74,324674.19,454073.69,506382.29
1,A665,Washington Catholic Elementary School,Daviess,60640.32,208044.4,361209.71,418336.07,497109.47,545540.06
1,A660,Washington Catholic Middle/High School,Daviess,44480,137137.16,165822.33,255134.17,431899.75,516754.42
1,D580,Westside Catholic School,Vanderburgh,13500,68164.4,252557.12,346230.03,435560.07,487281.29
1,A430,White Creek Lutheran School,Bartholomew,0,0,0,0,0,42408
1,A375,Woodburn Lutheran School,Allen,5317.8,84797.07,243779.89,229317.97,230443.18,262060.16
