School No.,School Name,County,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017
C595,Holy Cross Central School,Marion,"$219,631.06","$398,582.77","$913,029.37","$915,851.96","$1,160,030.45","$1,161,884.22"
A225,Holy Cross Lutheran School,Allen,#N/A,"$65,900.00","$170,400.00","$280,460.50","$325,767.27","$378,173.15"
C267,Holy Cross Lutheran School,Marion,"$4,500.00","$4,500.00",*,"$96,267.92","$109,922.98","$139,246.62"
B115,Holy Cross School,Gibson,#N/A,"$2,445.00",*,"$38,350.00","$66,050.00","$68,787.50"
C211,Holy Cross School,Madison,#N/A,#N/A,#N/A,-,-,"$502,932.34"
D240,Holy Cross School,St Joseph,"$181,315.72","$345,465.60","$794,313.46","$654,624.30","$711,620.28","$735,239.16"
D725,Holy Cross School,Vigo,"$40,500.00","$18,000.00",-,-,-,-
A865,Holy Family School,Dubois,"$20,682.73","$38,355.50","$66,175.00","$87,051.00",-,-
B050,Holy Family School,Floyd,"$11,702.17","$21,044.41","$81,604.32","$194,221.30","$201,702.43","$220,926.95"
D245,Holy Family School,St Joseph,"$148,234.19","$246,103.60","$440,776.28","$618,934.00","$641,782.00","$715,020.94"
C545,Holy Name School,Marion,"$50,218.02","$115,386.90","$258,472.19","$455,372.38","$514,378.19","$501,505.59"
D560,Holy Redeemer School,Vanderburgh,"$46,114.48","$100,663.04","$157,103.32","$292,996.39","$326,832.09","$376,592.88"
D565,Holy Rosary School,Vanderburgh,"$15,317.00","$56,596.30","$244,880.50","$300,613.44","$363,476.52","$476,642.18"
C390,Holy Spirit School,Marion,"$266,407.89","$522,422.79","$815,054.27","$834,507.50","$996,396.19","$1,129,321.91"
D570,Holy Spirit School,Vanderburgh,"$78,152.00","$187,813.69","$570,857.54","$517,822.12","$473,707.58","$527,794.50"
A871,Holy Trinity Catholic School,Dubois,#N/A,#N/A,-,-,"$182,517.42","$202,360.00"
A309,Horizon Christian Academy,Allen,"$71,647.83","$201,500.47","$587,289.46","$905,127.09","$1,306,617.42",-
A302,Horizon Christian Academy II,Allen,#N/A,#N/A,"$537,631.90","$371,466.15","$313,230.80",-
A307,Horizon Christian Academy III,Allen,#N/A,"$75,060.34","$861,293.55","$897,012.30","$1,145,679.67","$2,437,488.08"
C282,Horizon Christian School,Marion,"$72,096.34","$191,622.70","$407,030.46","$549,934.95","$618,433.27","$721,498.10"
C563,Horizon Christian School-Shepherd Campus,Marion,#N/A,"$80,189.53","$394,169.79","$409,728.00","$566,894.79","$607,387.65"
B725,Howe School,LaGrange,"$8,728.48","$28,398.76",*,*,"$57,057.17","$70,107.56"
B418,Huntington Catholic School,Huntington,"$70,975.02","$86,665.16","$197,838.08","$212,549.70","$283,822.65","$316,531.78"
C600,Immaculate Heart of Mary School,Marion,#N/A,"$5,625.54",*,*,*,*
B445,Immanuel Lutheran School,Jackson,#N/A,#N/A,-,-,"$117,015.70","$203,187.26"
B190,Indiana Academy,Hamilton,#N/A,#N/A,"$91,708.19","$328,712.16","$425,797.43","$470,001.70"
C175,Indiana Christian Academy,Madison,#N/A,"$99,603.18","$423,945.32","$667,327.32","$771,498.04","$833,005.04"
C455,Indianapolis Junior Academy,Marion,"$177,550.00","$318,675.78","$244,628.94","$160,406.14","$269,775.02","$277,851.72"
B302,Islamic School of Plainfield,Hendricks,#N/A,#N/A,-,-,*,"$89,407.38"
B483,Jay County Christian Academy,Jay,"$62,298.43","$106,410.14","$264,521.98","$167,539.38","$174,922.42","$210,326.84"
D722,John Paul II Catholic High School,Vigo,"$3,843.00","$11,144.00",*,*,*,-
B295,Kingsway Christian School,Hendricks,"$31,816.28","$151,807.00","$347,660.78","$569,883.62","$613,765.89","$570,231.07"
D440,Lafayette Christian School,Tippecanoe,#N/A,"$92,175.55","$270,784.81","$472,770.38","$557,321.86","$603,081.70"
B595,Lakeland Christian Academy,Kosciusko,"$30,398.76","$67,427.11","$88,161.90","$156,831.46","$165,796.92","$238,242.95"
B145,Lakeview Christian School,Grant,"$224,614.43","$448,497.93","$717,267.41","$794,868.47","$1,000,308.88","$1,049,160.18"
A740,Lakewood Park Christian School,Dekalb,"$96,112.38","$256,781.77","$557,786.08","$915,093.15","$946,978.74","$1,036,176.21"
B248,Legacy Christian School,Hamilton,#N/A,#N/A,*,"$62,085.44","$86,684.19","$142,539.08"
B299,Legacy Learning Center,Marion,#N/A,#N/A,#N/A,-,-,"$389,475.97"
C226,Liberty Christian Elementary,Madison,"$310,123.37","$493,781.34","$738,722.80","$817,551.11","$898,543.90","$926,592.87"
C225,Liberty Christian School,Madison,"$120,945.92","$152,256.82","$251,971.38","$416,311.28","$436,401.56","$599,937.47"
C224,Liberty Christian School (7-8),Madison,"$101,826.11","$143,552.72","$171,749.75","$171,908.65","$175,681.80",-
C927,Lighthouse Christian Academy,Monroe,"$27,217.13","$88,135.87","$172,789.49","$296,332.59","$392,909.68","$665,405.85"
C270,Lutheran High School,Marion,"$69,362.12","$133,252.88","$229,976.49","$474,849.52","$454,703.66","$565,791.91"
A235,Lutheran South Unity School,Allen,"$77,913.05","$213,157.61","$575,929.55","$695,315.43","$541,068.78","$330,647.10"
D165,Marian High School,St Joseph,"$224,007.56","$336,520.23","$751,616.30","$1,368,610.25","$1,556,009.40","$1,619,159.01"
C125,Marquette Catholic High School,LaPorte,"$87,665.43","$210,711.69","$373,800.32","$541,408.02","$782,637.60","$684,594.86"
D530,Mater Dei High School,Vanderburgh,"$28,072.34","$52,125.04","$110,375.39","$544,431.52","$639,749.92","$588,635.72"
D315,Michiana Christian School,St Joseph,#N/A,"$3,140.40","$70,132.48","$133,991.56","$136,532.57","$161,463.72"
B747,Midwest Elite Preparatory Academy,Lake,#N/A,#N/A,"$269,816.58","$562,795.22","$298,608.34","$260,285.55"
D177,Mishawaka Catholic School,St Joseph,"$73,591.35","$202,244.04","$389,895.76","$645,119.30","$628,687.60","$577,705.12"
C965,Mooresville Christian Academy,Morgan,"$25,262.42","$28,360.96","$210,987.02","$459,229.84","$609,160.81","$561,508.17"
B951,Morning Star Academy,Lake,#N/A,#N/A,-,-,*,"$62,082.00"
B904,Mosaic Middle School,Lake,#N/A,#N/A,-,"$169,225.79","$322,527.88","$335,676.78"
A130,Most Precious Blood School,Allen,"$73,465.22","$160,465.86","$382,702.15","$533,704.23","$538,450.90","$583,717.98"
C628,MTI School of Knowledge,Marion,"$310,656.12","$565,635.30","$857,048.27","$1,037,575.51","$1,113,508.07","$1,257,589.42"
D065,Nativity of Our Savior School,Porter,"$22,742.14","$100,128.72","$200,959.84","$334,854.92","$253,320.68","$250,251.07"
C265,Nativity School,Marion,"$37,300.00","$71,098.48","$119,548.94","$230,642.23","$354,876.68","$362,926.71"
D249,New Vision Christian Academy,St Joseph,#N/A,"$9,000.00","$85,400.00","$74,856.10","$84,937.36","$132,275.59"
D158,North Liberty Christian School,St Joseph,#N/A,"$15,250.00","$27,900.00","$51,750.00","$76,057.88","$35,011.00"
A405,North Star Montessori School,Bartholomew,#N/A,#N/A,*,*,"$56,261.00","$80,793.85"
C105,Notre Dame Elementary School,LaPorte,"$45,213.75","$42,889.08","$150,879.74","$240,782.07","$345,078.76","$326,076.30"
D135,Oldenburg Academy,Franklin,"$14,649.97","$40,386.63","$59,221.92","$210,325.52","$276,214.03","$256,196.32"
B246,Our Lady of Grace School,Hamilton,"$16,921.51","$79,746.69","$145,713.49","$196,117.63","$272,684.19","$214,128.81"
C025,Our Lady Of Grace School,Lake,"$58,412.40","$157,560.82","$305,699.69","$403,525.48","$393,320.76","$433,794.83"
D250,Our Lady Of Hungary School,St Joseph,"$290,805.81","$493,871.72","$705,228.32","$671,711.66","$763,801.50","$864,582.20"
C605,Our Lady Of Lourdes School,Marion,"$96,096.74","$160,687.71","$360,859.79","$369,809.51","$392,201.87","$389,201.00"
B060,Our Lady Of Perpetual School,Floyd,"$33,417.58","$52,928.03","$141,799.13","$282,548.31","$284,201.23","$264,043.46"
A575,Our Lady Of Providence High School,Clark,"$25,221.34","$65,646.10","$145,840.29","$412,745.02","$442,957.21","$445,572.29"
B535,Our Lady Of The Greenwood School,Johnson,"$46,305.04","$188,557.35","$436,738.38","$376,537.23","$471,754.87","$490,609.74"
A106,Our Lady School,Allen,#N/A,#N/A,#N/A,-,-,"$436,840.64"
C512,Our Shepherd Lutheran School,Hendricks,"$35,959.28","$71,677.50","$110,742.29","$161,674.07","$269,212.81","$217,281.01"
B167,Paddock View Residential Center,Grant,"$105,963.34","$131,499.91","$138,191.73",*,-,-
C899,Pinnacle School,Monroe,"$47,870.46","$132,045.81","$306,545.04","$413,089.91","$72,350.38",*
B510,Pope John XXIII School,Jefferson,"$7,773.00","$97,411.60","$277,896.16","$464,790.01","$524,910.79","$556,820.18"
D080,Portage Christian School,Porter,#N/A,#N/A,"$189,701.41","$830,794.08","$1,107,968.52","$1,293,837.34"
A870,Precious Blood School,Dubois,"$3,264.00","$12,327.00","$32,592.08","$67,006.00",-,-
C791,Project Libertas,Marion,#N/A,#N/A,"$206,448.61","$261,122.12","$385,269.48","$347,909.15"
C623,Providence Cristo Rey High School,Marion,"$382,859.33","$614,404.77","$966,075.85","$1,180,966.85","$1,311,249.27","$1,439,213.55"
C110,Queen Of All Saints School,LaPorte,"$147,431.25","$185,138.16","$331,533.48","$349,564.93","$317,075.96","$429,179.00"
A135,Queen Of Angels School,Allen,"$80,763.41","$267,294.76","$392,750.91","$456,328.08","$474,607.13","$489,894.99"
D198,Queen of Peace School,St Joseph,"$25,030.51","$76,410.70","$158,896.91","$247,274.43","$300,612.12","$299,219.62"
B367,Redeemer Lutheran School,Howard,"$3,715.00","$23,621.52","$39,390.81","$84,836.15","$176,057.83","$177,131.46"
D535,Reitz Memorial High School,Vanderburgh,"$60,833.97","$112,643.20","$216,050.59","$732,273.30","$769,697.08","$878,972.18"
D317,Resurrection Lutheran Academy,St Joseph,#N/A,#N/A,#N/A,-,-,"$80,911.00"
D610,Resurrection School,Vanderburgh,"$4,040.00","$18,605.00","$112,028.00","$212,519.21","$223,964.83","$269,603.43"
D860,Richmond Academy,Wayne,"$63,500.00","$78,395.76","$64,882.93","$133,645.18","$187,783.69","$175,294.14"
B560,Rivet Middle & High School,Knox,"$13,536.29","$17,446.00","$58,248.18","$145,046.28","$158,462.69","$157,203.65"
C320,Roncalli High School,Marion,"$96,643.13","$222,216.92","$578,571.23","$1,292,320.89","$1,532,840.40","$1,553,179.00"
A470,Sacred Heart School,Benton,#N/A,"$16,600.00","$50,800.00","$76,200.00","$125,293.00","$134,324.70"
A570,Sacred Heart School,Clark,"$66,697.06","$152,751.84","$317,230.53","$367,145.26","$431,391.41","$393,770.77"
B605,Sacred Heart School,Kosciusko,"$27,000.00","$53,312.63","$98,236.00","$138,211.20","$170,855.50","$133,899.11"
D255,Saint Adalbert School,St Joseph,"$185,012.00","$381,561.60","$746,913.28","$914,225.00","$958,161.05","$1,045,750.42"
A270,Saint Aloysius Catholic School,Allen,"$21,285.44","$56,314.27","$185,814.77","$164,241.12","$194,735.29","$169,579.06"
B440,Saint Ambrose School,Jackson,"$18,467.94","$26,659.00","$74,668.54","$172,038.94","$205,986.52","$236,742.31"
C205,Saint Ambrose School,Madison,"$38,513.64","$65,658.18","$114,659.97","$202,036.30","$204,131.96",-
C615,Saint Anthony Catholic School,Marion,#N/A,#N/A,-,-,"$1,082,225.94","$1,201,088.96"
D260,Saint Anthony De Padua School,St Joseph,"$139,979.73","$185,689.16","$360,667.66","$578,633.72","$590,407.18","$561,955.40"
A560,Saint Anthony School,Clark,"$36,640.78","$88,352.04","$287,997.06","$542,862.95","$649,156.74","$754,121.01"
B475,Saint Augustine School,Jasper,"$11,820.00","$38,865.88","$78,776.02","$89,718.03","$89,144.78","$88,325.30"
C295,Saint Barnabas School,Marion,"$26,223.72","$41,893.72","$73,740.17","$144,536.82","$203,832.39","$247,753.92"
A425,Saint Bartholomew School,Bartholomew,#N/A,"$25,110.00","$116,600.74","$265,661.79","$327,102.92","$429,104.02"
D590,Saint Benedict Cathedral School,Vanderburgh,"$16,307.24","$36,567.50","$203,248.26","$280,335.19","$261,633.16","$302,603.01"
D805,Saint Bernard Elementary School,Wabash,"$9,000.00","$34,453.03","$86,248.96","$101,802.07","$124,130.32","$213,587.05"
D370,Saint Bernard School,Spencer,"$53,175.12","$71,606.24","$112,532.92","$166,252.47","$184,173.52","$217,906.61"
D420,Saint Boniface School,Tippecanoe,"$31,219.86","$45,240.84","$150,049.18","$212,291.78","$203,385.37","$247,520.43"
C040,Saint Bridget School,Lake,"$6,750.00",#N/A,-,-,-,-
B950,Saint Casimir School,Lake,"$135,995.00","$346,806.57","$771,818.58","$1,153,806.89","$1,239,679.73","$1,344,607.53"
C900,Saint Charles Borromeo School,Monroe,#N/A,"$38,022.58","$74,053.73","$97,169.60","$129,880.10","$144,132.04"
A145,Saint Charles Borromeo School,Allen,"$94,343.49","$372,874.25","$974,015.02","$1,323,988.09","$1,535,213.06","$1,572,271.08"
C795,Saint Christopher School,Marion,"$31,285.00","$77,549.28","$243,903.02","$375,015.41","$408,602.76","$387,687.28"
